фраза_мутаген;частотность_мутаген;в_большом_датасете;частотность_датасета;статус
4 вилочный погрузчик;15;4 вилочный погрузчик;17;совпадает
двери для вилочных погрузчиков;15;;;новое
стекло на вилочные погрузчики;15;стекло на вилочный погрузчик;13;совпадает
вилочный погрузчик вес;14;вес вилочного погрузчика;37;совпадает
авито вилочный погрузчик б у;14;авито вилочный погрузчик б у;57;совпадает
погрузчик вилочный 1500;14;погрузчик вилочный 1500;0;совпадает
схема вилочного погрузчика;14;схема вилочного погрузчика;10;совпадает
какая модель погрузчика вилочного;14;;;новое
рулевой мост вилочного погрузчика;14;рулевой мост вилочного погрузчика;5;совпадает
вилочный дизельный погрузчик 3;14;вилочный дизельный погрузчик 3;0;совпадает
погрузчик вилочный дизельный 3 тонны;14;вилочный погрузчик 3 тонны дизельный;17;совпадает
крепление баллона на вилочный погрузчик;14;;;новое
вилочный погрузчик lg30dt;14;погрузчик вилочный lg30dt;0;совпадает
вилочный погрузчик lonking lg30dt;14;погрузчик вилочный lonking lg30dt;13;совпадает
вилочные погрузчики 3 5 тонны;14;вилочный погрузчик 3 5 тонн;4;совпадает
какие права нужны на вилочный погрузчик;13;какие права нужны на вилочный погрузчик;119;сильно_разошлось
обслуживание вилочного погрузчика;13;обслуживание погрузчика вилочного;12;совпадает
использование вилочных погрузчиков;13;использование вилочных погрузчиков;0;совпадает
разгрузка контейнера вилочным погрузчиком;13;разгрузка контейнера вилочным погрузчиком;2;сильно_разошлось
подшипник вилочного погрузчика;13;подшипник вилочного погрузчика;1;сильно_разошлось
вилочный погрузчик 35;13;;;новое
вилочный погрузчик 25;13;вилочный погрузчик 25;0;совпадает
как управлять вилочным погрузчиком;13;как управлять вилочным погрузчиком;51;совпадает
подъем вилочного погрузчика;13;подъем вилочного погрузчика;0;совпадает
вилочный погрузчик 500 кг;13;вилочный погрузчик 500 кг;0;совпадает
двигатель ниссан погрузчик вилочный;13;ниссан погрузчик вилочный двигатель;0;совпадает
geka вилочный погрузчик;13;погрузчик вилочный geka;13;совпадает
вилочный погрузчик зумлион;13;зумлион погрузчик вилочный;43;совпадает
аренда погрузчика тонны вилочного;13;;;новое
вилочный погрузчик двс ниссан бензин;13;;;новое
производители вилочных погрузчиков;13;производители вилочных погрузчиков;1;сильно_разошлось
датчик холла мотора вилочного погрузчика;13;;;новое
размер колеса вилочного погрузчика;12;вилочный погрузчик размеры колес;1;сильно_разошлось
вилочный погрузчик на т;12;вилочный погрузчик на т;0;совпадает
наклейки на вилочный погрузчик;12;;;новое
вилочные погрузчики в екатеринбурге б у;10;вилочный погрузчик б у в екатеринбурге;0;совпадает
купить вилочный погрузчик бу в екатеринбурге;8;купить погрузчик в екатеринбурге бу вилочный;13;совпадает
гбо для вилочного погрузчика екатеринбург;5;;;новое
